analyze-counts --verbose=1 --binary=false 'ark:ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- |' exp/mlp/ali_train_pdf.counts 
ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- 
LOG (ali-to-pdf[5.3.57~1-6f9f]:main():ali-to-pdf.cc:68) Converted 4000 alignments to pdf sequences.
LOG (analyze-counts[5.3.57~1-6f9f]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
9	(6.9346e-06),	913	
10	(7.70511e-06),	1380	
14	(1.07872e-05),	795	
16	(1.23282e-05),	1371	
16	(1.23282e-05),	1636	
18	(1.38692e-05),	1085	
19	(1.46397e-05),	984	
19	(1.46397e-05),	1069	
20	(1.54102e-05),	971	
20	(1.54102e-05),	1121	
22	(1.69512e-05),	1341	
23	(1.77218e-05),	826	
23	(1.77218e-05),	1160	
25	(1.92628e-05),	166	
25	(1.92628e-05),	1461	
28	(2.15743e-05),	1639	
30	(2.31153e-05),	1366	
31	(2.38858e-05),	1367	
34	(2.61974e-05),	20	
34	(2.61974e-05),	910	
37	(2.85089e-05),	921	
39	(3.00499e-05),	419	
39	(3.00499e-05),	1558	
41	(3.1591e-05),	1328	
44	(3.39025e-05),	683	
44	(3.39025e-05),	722	
44	(3.39025e-05),	1557	
45	(3.4673e-05),	791	
45	(3.4673e-05),	1141	
46	(3.54435e-05),	1375	
46	(3.54435e-05),	1641	
47	(3.6214e-05),	896	
48	(3.69845e-05),	777	
49	(3.7755e-05),	1363	
50	(3.85256e-05),	171	
50	(3.85256e-05),	1377	
51	(3.92961e-05),	898	
51	(3.92961e-05),	1166	
52	(4.00666e-05),	516	
52	(4.00666e-05),	1071	
52	(4.00666e-05),	1634	
53	(4.08371e-05),	435	
53	(4.08371e-05),	476	
55	(4.23781e-05),	1635	
56	(4.31486e-05),	714	
57	(4.39191e-05),	383	
58	(4.46896e-05),	1562	
60	(4.62307e-05),	914	
62	(4.77717e-05),	484	
64	(4.93127e-05),	1186	
65	(5.00832e-05),	756	
65	(5.00832e-05),	1426	
66	(5.08537e-05),	78	
66	(5.08537e-05),	1427	
69	(5.31653e-05),	262	
69	(5.31653e-05),	801	
70	(5.39358e-05),	1403	
71	(5.47063e-05),	1153	
72	(5.54768e-05),	102	
72	(5.54768e-05),	1441	
73	(5.62473e-05),	840	
74	(5.70178e-05),	782	
74	(5.70178e-05),	1139	
75	(5.77883e-05),	120	
75	(5.77883e-05),	1619	
76	(5.85588e-05),	17	
76	(5.85588e-05),	58	
76	(5.85588e-05),	1241	
80	(6.16409e-05),	220	
80	(6.16409e-05),	1031	
81	(6.24114e-05),	806	
81	(6.24114e-05),	1314	
81	(6.24114e-05),	1421	
82	(6.31819e-05),	437	
83	(6.39524e-05),	537	
83	(6.39524e-05),	1544	
85	(6.54934e-05),	916	
85	(6.54934e-05),	1503	
87	(6.70345e-05),	874	
87	(6.70345e-05),	1181	
89	(6.85755e-05),	1568	
90	(6.9346e-05),	369	
90	(6.9346e-05),	436	
90	(6.9346e-05),	1386	
91	(7.01165e-05),	576	
92	(7.0887e-05),	682	
93	(7.16575e-05),	6	
95	(7.31985e-05),	813	
96	(7.39691e-05),	982	
96	(7.39691e-05),	1294	
97	(7.47396e-05),	1260	
98	(7.55101e-05),	25	
99	(7.62806e-05),	920	
99	(7.62806e-05),	1376	
100	(7.70511e-05),	1360	
101	(7.78216e-05),	808	
102	(7.85921e-05),	705	
102	(7.85921e-05),	948	
102	(7.85921e-05),	1273	
103	(7.93626e-05),	935	
103	(7.93626e-05),	946	
103	(7.93626e-05),	1529	
103	(7.93626e-05),	1637	
105	(8.09037e-05),	825	
106	(8.16742e-05),	475	
106	(8.16742e-05),	730	
107	(8.24447e-05),	387	
107	(8.24447e-05),	820	
107	(8.24447e-05),	981	
110	(8.47562e-05),	602	
110	(8.47562e-05),	1057	
110	(8.47562e-05),	1249	
110	(8.47562e-05),	1431	
111	(8.55267e-05),	204	
111	(8.55267e-05),	1370	
112	(8.62972e-05),	657	
112	(8.62972e-05),	1081	
113	(8.70677e-05),	1322	
113	(8.70677e-05),	1388	
113	(8.70677e-05),	1415	
115	(8.86088e-05),	527	
115	(8.86088e-05),	530	
115	(8.86088e-05),	764	
115	(8.86088e-05),	947	
116	(8.93793e-05),	264	
116	(8.93793e-05),	371	
116	(8.93793e-05),	552	
117	(9.01498e-05),	599	
118	(9.09203e-05),	390	
118	(9.09203e-05),	1424	
119	(9.16908e-05),	438	
119	(9.16908e-05),	624	
119	(9.16908e-05),	876	
119	(9.16908e-05),	1176	
119	(9.16908e-05),	1222	
120	(9.24613e-05),	965	
121	(9.32318e-05),	456	
122	(9.40023e-05),	937	
123	(9.47729e-05),	449	
123	(9.47729e-05),	551	
123	(9.47729e-05),	915	
123	(9.47729e-05),	1103	
123	(9.47729e-05),	1405	
124	(9.55434e-05),	203	
125	(9.63139e-05),	534	
125	(9.63139e-05),	889	
126	(9.70844e-05),	928	
127	(9.78549e-05),	50	
127	(9.78549e-05),	219	
127	(9.78549e-05),	663	
128	(9.86254e-05),	221	
128	(9.86254e-05),	678	
129	(9.93959e-05),	1257	
130	(0.000100166),	609	
131	(0.000100937),	886	
131	(0.000100937),	1073	
132	(0.000101707),	829	
132	(0.000101707),	1091	
133	(0.000102478),	1570	
134	(0.000103248),	697	
134	(0.000103248),	719	
134	(0.000103248),	1234	
134	(0.000103248),	1324	
134	(0.000103248),	1478	
135	(0.000104019),	514	
135	(0.000104019),	649	
135	(0.000104019),	771	
135	(0.000104019),	875	
135	(0.000104019),	1096	
136	(0.000104789),	1423	
136	(0.000104789),	1428	
137	(0.00010556),	183	
137	(0.00010556),	1582	
138	(0.000106331),	723	
138	(0.000106331),	1624	
139	(0.000107101),	1062	
140	(0.000107872),	635	
140	(0.000107872),	754	
141	(0.000108642),	474	
142	(0.000109413),	1270	
143	(0.000110183),	382	
143	(0.000110183),	970	
143	(0.000110183),	1070	
143	(0.000110183),	1400	
143	(0.000110183),	1489	
144	(0.000110954),	63	
145	(0.000111724),	223	
145	(0.000111724),	381	
145	(0.000111724),	1232	
145	(0.000111724),	1553	
146	(0.000112495),	845	
147	(0.000113265),	1307	
148	(0.000114036),	215	
148	(0.000114036),	680	
148	(0.000114036),	769	
148	(0.000114036),	1577	
150	(0.000115577),	506	
150	(0.000115577),	1192	
151	(0.000116347),	528	
151	(0.000116347),	1099	
152	(0.000117118),	258	
152	(0.000117118),	590	
153	(0.000117888),	358	
153	(0.000117888),	887	
153	(0.000117888),	1352	
153	(0.000117888),	1358	
153	(0.000117888),	1379	
154	(0.000118659),	200	
154	(0.000118659),	260	
154	(0.000118659),	1076	
154	(0.000118659),	1114	
154	(0.000118659),	1191	
155	(0.000119429),	86	
155	(0.000119429),	1083	
156	(0.0001202),	196	
156	(0.0001202),	613	
156	(0.0001202),	841	
156	(0.0001202),	1040	
156	(0.0001202),	1174	
156	(0.0001202),	1418	
157	(0.00012097),	524	
159	(0.000122511),	619	
159	(0.000122511),	1226	
159	(0.000122511),	1502	
160	(0.000123282),	1035	
161	(0.000124052),	306	
161	(0.000124052),	385	
161	(0.000124052),	1329	
162	(0.000124823),	174	
162	(0.000124823),	838	
162	(0.000124823),	1525	
164	(0.000126364),	1066	
164	(0.000126364),	1633	
165	(0.000127134),	315	
165	(0.000127134),	1030	
165	(0.000127134),	1397	
166	(0.000127905),	79	
166	(0.000127905),	134	
